iter	Passed	Remaining
0	2	225
1	5	249
2	7	246
3	9	237
4	11	226
5	13	216
6	15	210
7	18	210
8	20	207
9	22	202
10	25	203
11	27	200
12	29	199
13	31	195
14	34	193
15	36	192
16	38	190
17	40	186
18	42	181
19	44	178
20	46	174
21	48	173
22	50	170
23	52	166
24	55	165
25	57	162
26	58	158
27	60	155
28	62	153
29	64	150
30	66	147
31	68	145
32	70	142
33	72	139
34	73	137
35	75	134
36	77	131
37	79	129
38	81	127
39	83	124
40	85	122
41	87	120
42	89	118
43	90	114
44	91	112
45	93	109
46	95	107
47	97	105
48	99	103
49	101	101
50	103	99
51	105	96
52	106	94
53	108	92
54	110	90
55	112	88
56	114	86
57	116	84
58	118	82
59	120	80
60	122	78
61	124	76
62	126	74
63	128	72
64	129	69
65	131	67
66	133	65
67	134	63
68	137	61
69	139	59
70	141	57
71	144	56
72	146	54
73	148	52
74	150	50
75	152	48
76	154	46
77	155	43
78	157	41
79	158	39
80	160	37
81	161	35
82	163	33
83	165	31
84	166	29
85	168	27
86	169	25
87	171	23
88	173	21
89	174	19
90	176	17
91	178	15
92	180	13
93	182	11
94	184	9
95	185	7
96	187	5
97	189	3
98	192	1
99	193	0
